"Precinct","Anti-White","Anti-Black","Anti-Asian","Anti-Jewish","Anti-Catholic","Anti-Islamic (Muslim)","Anti-Hispanic","Anti-Other Ethnicity","Anti-Male Homosexual (Gay)","Anti-Female Homosexual (Lesbian)","Anti-Transgender","Anti-Hindu","Total"
"1","0","0","0","1","0","0","0","0","0","0","0","0","1"
"5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","1","0","1","1","0","0","0","0","0","0","0","0","3"
"7","0","0","1","0","0","0","0","0","0","0","0","0","1"
"9","0","0","0","0","0","0","0","0","1","0","0","0","1"
"10","0","0","0","1","0","0","0","0","0","0","0","0","1"
"13","0","0","0","1","0","0","0","0","0","0","0","0","1"
"14","0","1","0","6","0","0","0","1","0","0","0","0","8"
"17","0","0","0","1","0","0","0","0","0","0","0","0","1"
"18","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","0","0","0","4","0","1","0","0","1","0","0","0","6"
"20","0","0","0","3","0","0","0","1","0","0","0","0","4"
"22","0","1","0","0","0","0","0","0","0","0","0","0","1"
"23","0","0","0","0","0","0","0","0","1","0","0","0","1"
"24","0","0","0","2","0","0","0","0","0","0","0","0","2"
"25","0","0","0","0","0","0","0","0","0","0","0","0","0"
"26","0","0","0","0","0","0","0","0","0","0","0","0","0"
"28","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30","0","0","0","1","0","1","0","0","0","0","0","0","2"
"32","0","0","0","0","0","0","0","0","0","0","0","0","0"
"33","0","0","1","0","0","0","0","0","1","0","0","0","2"
"34","1","0","0","1","0","0","0","1","0","0","0","0","3"
"40","0","0","0","0","0","0","0","0","0","0","0","0","0"
"41","0","0","0","0","0","1","0","0","0","0","0","0","1"
"42","0","0","0","0","0","0","0","0","1","0","0","0","1"
"43","0","0","0","0","0","0","0","0","0","0","0","0","0"
"44","0","0","0","0","0","0","0","0","0","0","0","0","0"
"45","0","0","0","1","0","0","0","0","0","0","0","0","1"
"46","0","0","0","0","0","0","0","0","0","0","0","0","0"
"47","0","0","0","0","0","0","0","0","0","0","0","0","0"
"48","0","2","0","0","0","0","0","0","0","0","0","0","2"
"49","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50","0","0","0","2","0","0","0","0","0","0","0","0","2"
"52","0","0","0","0","0","0","0","0","1","0","0","0","1"
"60","0","0","0","0","0","1","0","0","0","0","0","0","1"
"61","0","1","1","2","0","0","0","0","0","0","0","0","4"
"62","0","0","0","4","0","0","0","0","0","0","0","0","4"
"63","0","0","0","0","0","0","0","0","0","0","0","0","0"
"66","0","0","0","3","0","0","0","0","0","0","0","0","3"
"67","0","0","0","0","0","0","0","0","0","0","0","0","0"
"68","0","0","0","0","0","0","0","0","0","0","0","0","0"
"69","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70","0","0","0","6","0","0","0","0","0","0","0","0","6"
"71","0","0","0","1","0","0","0","0","1","0","0","0","2"
"72","0","0","0","0","0","0","1","0","0","0","0","0","1"
"73","0","0","0","0","0","0","0","0","0","0","0","0","0"
"75","0","0","0","0","0","0","2","0","0","0","0","0","2"
"76","0","0","0","0","1","0","0","0","0","0","0","0","1"
"77","0","0","0","0","0","0","0","0","0","0","0","0","0"
"78","0","0","0","1","0","0","0","0","0","0","0","0","1"
"79","0","0","0","2","0","0","0","0","2","0","0","0","4"
"81","0","0","0","0","0","0","0","0","0","0","0","0","0"
"83","0","0","0","0","0","0","0","0","0","0","0","0","0"
"84","0","1","0","3","0","0","0","0","1","0","0","0","5"
"88","0","1","0","2","0","0","0","0","1","0","0","0","4"
"90","0","0","0","3","0","0","0","0","0","0","0","0","3"
"94","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100","0","0","0","0","0","0","0","0","0","0","0","0","0"
"101","0","0","0","1","0","0","0","0","0","0","0","0","1"
"102","0","0","0","1","0","0","0","0","0","0","0","0","1"
"103","0","0","0","0","0","1","0","0","1","0","0","0","2"
"104","0","0","0","0","0","0","1","0","0","0","0","0","1"
"105","0","0","0","0","0","0","0","0","0","0","0","0","0"
"106","0","0","0","0","0","0","0","0","0","0","0","0","0"
"107","0","0","0","0","0","0","0","1","0","0","0","0","1"
"108","0","1","0","0","0","0","0","0","0","0","0","0","1"
"109","0","1","1","0","0","0","0","0","0","0","0","1","3"
"110","0","0","0","1","0","0","0","0","0","0","0","0","1"
"111","0","0","0","0","0","0","0","0","0","0","0","0","0"
"112","0","0","0","0","0","0","0","0","0","0","0","0","0"
"113","0","0","0","0","0","1","0","0","0","0","0","0","1"
"114","0","0","0","1","0","2","1","1","6","0","0","0","11"
"115","0","0","0","0","0","0","0","0","0","1","0","0","1"
"120","0","1","0","0","0","0","0","0","0","0","0","0","1"
"121","0","0","0","0","0","0","0","0","0","0","0","0","0"
"122","0","0","0","1","0","0","0","0","0","0","0","0","1"
"123","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Total","2","10","5","57","1","8","5","5","18","1","0","1","113"
