"Precinct","60 YEARS OLD OR MORE","ANTI-ARAB","ANTI-ASIAN","ANTI-BLACK","ANTI-CATHOLIC","ANTI-FEMALE HOMOSEXUAL (LESBIAN)","ANTI-ISLAMIC (Muslim)","ANTI-JEWISH","ANTI-MALE HOMOSEXUAL (GAY)","ANTI-OTHER ETHNICITY/NATIONAL ORIGIN/ANCESTRY","ANTI-TRANSGENDER","ANTI-WHITE","UNDETERMINED","Total"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"1","0","0","0","0","1","0","0","0","1","0","0","0","0","2"
"5","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
"6","0","0","0","1","0","0","0","1","0","0","0","0","0","2"
"7","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"9","0","0","0","0","0","0","0","0","1","0","0","1","0","2"
"10","0","0","0","0","0","0","0","0","2","0","0","0","0","2"
"13","0","0","0","0","0","0","0","2","1","0","0","0","0","3"
"14","0","1","0","0","0","0","0","1","0","0","0","0","0","2"
"17","0","0","0","0","0","0","1","1","0","0","0","0","0","2"
"18","0","0","0","0","0","0","0","1","0","1","0","0","0","2"
"19","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
"20","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
"22","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
"24","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"26","0","0","0","0","0","0","1","1","1","0","0","0","0","3"
"28","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
"30","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"32","0","1","0","1","0","0","0","0","0","0","0","0","0","2"
"33","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
"34","0","0","0","0","0","0","0","1","0","0","0","0","1","2"
"40","0","4","0","0","0","0","0","0","0","0","0","0","0","4"
"41","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"42","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"43","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"44","0","0","0","0","0","0","0","1","0","1","1","0","0","3"
"45","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"46","0","0","0","0","0","0","0","0","1","0","1","0","0","2"
"47","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"48","0","0","0","0","0","1","0","0","0","0","0","0","0","1"
"49","0","0","0","0","0","0","1","0","0","0","0","0","0","1"
"50","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
"52","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"60","0","0","0","0","0","0","0","1","1","0","0","0","0","2"
"61","0","0","2","1","0","0","0","4","0","0","0","0","0","7"
"62","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"63","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
"66","0","1","0","0","1","0","0","0","0","0","0","0","0","2"
"67","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"68","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
"69","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70","0","1","0","0","0","0","0","1","0","0","0","0","0","2"
"71","0","0","0","0","0","0","0","2","0","0","0","0","0","2"
"72","0","0","0","0","0","0","0","2","0","0","0","0","0","2"
"73","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"75","0","1","0","0","0","1","0","0","1","0","0","0","0","3"
"76","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"77","0","0","1","0","0","0","1","0","0","0","0","0","0","2"
"78","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"79","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"81","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"83","0","0","0","1","0","0","0","0","0","0","1","0","0","2"
"84","0","0","0","0","0","1","0","0","1","0","0","0","0","2"
"88","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"90","0","0","0","0","0","0","0","6","1","0","0","0","0","7"
"94","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
"101","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
"102","0","0","0","0","0","0","1","0","0","0","0","0","0","1"
"103","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
"104","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"105","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"106","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"107","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
"108","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
"109","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"110","1","0","0","0","1","2","0","1","0","0","0","0","0","5"
"111","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"112","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"113","0","0","0","0","0","0","1","0","0","0","0","0","0","1"
"114","0","1","0","0","0","0","0","0","0","0","0","0","0","1"
"115","0","0","0","0","0","0","0","0","1","1","0","0","0","2"
"120","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"121","0","0","0","0","0","0","1","0","0","0","0","0","0","1"
"122","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"123","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
"Total","1","10","3","7","3","5","7","41","15","3","3","2","1","101"
