"Precinct","ANTI-ARAB","ANTI-ASIAN","ANTI-BLACK","ANTI-CATHOLIC","ANTI-FEMALE","ANTI-HISPANIC","ANTI-JEWISH","ANTI-LGBT","ANTI-MALE HOMOSEXUAL (GAY)","ANTI-MULTI-RELIGIOUS GROUPS","ANTI-OTHER ETHNICITY/NATIONAL ORIGIN/ANCESTRY","ANTI-RELIGIOUS PRACTICE, GENERALLY","ANTI-TRANSGENDER","ANTI-WHITE","Total"
"1","0","0","0","0","0","0","3","0","0","0","0","0","0","0","3"
"5","0","0","0","0","0","0","1","1","0","0","0","0","0","0","2"
"6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
"10","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"14","1","1","0","0","0","0","0","0","0","0","0","0","0","0","2"
"17","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"18","0","0","1","0","0","0","1","0","1","0","0","0","0","0","3"
"19","1","0","0","0","0","0","1","0","0","0","0","0","0","0","2"
"24","1","0","0","0","0","0","1","0","0","0","0","0","0","0","2"
"26","0","0","1","0","0","0","1","1","0","0","0","0","0","0","3"
"30","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
"34","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"40","0","0","0","0","0","0","0","0","1","0","1","0","0","0","2"
"42","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"43","0","0","0","0","0","0","0","0","1","0","0","0","1","0","2"
"48","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1"
"50","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1"
"60","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"61","1","0","0","0","0","0","2","0","0","0","1","0","0","0","4"
"62","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1"
"63","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"67","0","0","0","0","0","0","0","0","1","0","0","0","1","0","2"
"69","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1"
"70","0","0","1","0","0","0","1","0","0","0","1","0","0","0","3"
"71","1","0","0","0","0","0","2","0","1","0","0","0","0","0","4"
"75","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"76","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1"
"77","0","0","1","1","0","0","2","0","0","0","0","0","0","0","4"
"79","0","0","1","0","0","0","0","0","3","0","0","0","0","0","4"
"81","0","0","0","0","0","0","0","0","2","0","0","0","0","0","2"
"83","1","0","0","0","1","0","0","0","0","0","0","0","0","0","2"
"84","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1"
"90","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
"94","0","0","0","0","0","0","2","0","0","0","0","0","0","0","2"
"102","0","0","0","0","0","0","1","0","0","0","0","0","0","1","2"
"103","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
"104","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"108","0","0","0","0","0","0","2","0","0","0","0","0","0","0","2"
"112","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"114","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"120","0","0","0","0","0","2","0","0","0","0","1","0","1","0","4"
"121","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1"
"122","0","0","2","0","0","0","1","0","0","0","0","0","0","0","3"
"Total","9","1","7","1","1","2","27","2","14","2","4","1","5","4","80"
