"Precinct","Anti-Black","Anti-Catholic","Anti-Female Homosexual (Lesbian)","Anti-Islamic (Muslim)","Anti-Jewish","Anti-Male Homosexual (Gay)","Anti-Other Christian","Anti-Other Ethnicity/National Origin/Ancestry","Anti-Other Religion","Anti-Religious Practice","Anti-Transgender","Anti-White","Total"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"1","0","0","0","0","4","0","0","0","0","0","0","0","4"
"5","0","0","0","0","1","0","0","0","0","0","0","0","1"
"6","0","0","0","0","4","0","0","0","0","0","1","0","5"
"7","0","0","0","0","0","0","0","1","0","0","0","0","1"
"9","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0","0","0","0","2","0","0","0","0","0","0","0","2"
"13","1","0","0","0","0","1","0","0","0","0","0","0","2"
"14","0","0","0","0","0","0","0","1","0","0","0","0","1"
"17","0","0","0","0","1","0","0","0","0","0","0","0","1"
"18","0","0","0","1","0","2","0","0","1","0","1","0","5"
"19","0","0","0","0","1","0","0","1","0","0","0","0","2"
"20","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23","1","0","0","0","0","0","0","0","0","0","0","0","1"
"24","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25","0","0","0","0","0","0","0","0","0","0","0","0","0"
"26","0","0","0","0","0","0","1","0","0","0","1","0","2"
"28","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30","0","0","0","0","0","0","0","0","0","0","0","0","0"
"32","0","0","0","0","0","0","0","0","0","0","0","0","0"
"33","0","0","0","0","0","0","0","0","0","0","0","0","0"
"34","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40","0","0","1","0","0","0","0","1","0","0","0","0","2"
"41","0","0","0","0","0","0","0","0","0","0","0","0","0"
"42","0","0","0","0","0","0","0","0","0","0","0","0","0"
"43","0","0","0","0","0","1","0","0","0","0","0","0","1"
"44","1","0","0","0","0","0","0","0","0","0","0","0","1"
"45","0","0","0","0","0","0","0","0","0","0","0","0","0"
"46","0","0","0","0","0","0","0","0","0","0","0","0","0"
"47","0","0","0","0","0","0","0","0","0","0","0","0","0"
"48","0","0","0","0","0","0","0","0","0","0","0","0","0"
"49","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50","0","0","0","0","0","0","0","0","0","0","0","0","0"
"52","0","0","0","0","0","2","0","0","0","0","0","0","2"
"60","0","0","0","0","3","0","0","0","0","0","0","0","3"
"61","0","0","0","0","2","0","0","0","0","0","0","1","3"
"62","0","0","0","0","0","0","0","0","0","0","0","0","0"
"63","0","0","0","0","1","0","0","0","0","0","0","0","1"
"66","0","0","0","0","2","0","0","0","0","0","0","0","2"
"67","0","0","1","0","0","0","0","0","0","1","0","0","2"
"68","0","0","0","1","0","1","0","0","0","0","0","0","2"
"69","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70","1","0","0","0","0","0","0","0","0","0","1","0","2"
"71","0","0","0","0","5","1","0","0","0","0","0","0","6"
"72","0","0","0","0","0","0","0","0","0","0","0","0","0"
"73","0","0","0","0","0","0","0","0","0","0","0","0","0"
"75","0","0","0","0","0","0","0","0","0","0","0","0","0"
"76","0","0","0","0","0","0","0","0","0","0","0","0","0"
"77","0","0","0","0","0","0","0","0","0","0","0","0","0"
"78","0","0","0","0","0","0","0","0","0","0","0","0","0"
"79","0","0","0","0","0","0","0","0","0","0","0","0","0"
"81","0","0","0","0","0","0","0","0","0","0","0","1","1"
"83","0","0","0","0","0","0","0","0","0","0","0","0","0"
"84","0","0","0","0","1","0","0","0","0","0","0","0","1"
"88","1","0","0","0","0","0","0","0","0","0","0","0","1"
"90","0","0","0","0","0","0","0","0","0","0","0","0","0"
"94","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100","0","0","0","0","0","0","0","0","0","0","0","0","0"
"101","0","0","0","0","0","0","0","0","0","0","0","0","0"
"102","0","0","0","0","0","0","0","0","0","0","0","0","0"
"103","0","0","0","0","0","0","0","0","0","0","0","0","0"
"104","0","0","0","0","0","0","0","0","0","0","0","0","0"
"105","0","0","0","1","0","0","0","0","0","0","0","0","1"
"106","0","0","0","0","0","0","0","0","0","0","0","0","0"
"107","0","0","0","0","1","0","0","0","0","0","0","0","1"
"108","0","0","0","0","2","0","0","0","0","0","1","0","3"
"109","0","0","0","0","1","0","0","0","0","0","0","0","1"
"110","0","0","0","0","0","0","0","0","0","0","1","0","1"
"111","0","1","0","0","0","0","0","0","0","0","0","0","1"
"112","0","0","0","0","0","0","0","0","0","0","0","0","0"
"113","0","0","0","0","0","0","0","0","0","0","0","0","0"
"114","0","0","0","0","0","0","0","0","0","0","0","0","0"
"115","0","0","0","0","0","0","0","0","0","0","0","0","0"
"120","0","0","0","0","0","0","0","0","0","0","0","0","0"
"121","0","0","0","0","0","0","0","0","0","0","0","0","0"
"122","0","0","0","0","0","0","0","0","0","0","0","0","0"
"123","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Total","5","1","2","3","31","8","1","4","1","1","6","2","65"
