"Precinct","Anti-Arab","Anti-Asian","Anti-Black","Anti-Female Homosexual (Lesbian)","Anti-Hispanic","Anti-Islamic (Muslim)","Anti-Jewish","Anti-LGBT","Anti-Male Homosexual (Gay)","Anti-Multi Racial Groups","Anti-Transgender","Anti-White","Total"
"1","0","0","1","0","0","0","0","0","0","0","0","1","2"
"5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","0","0","0","0","0","0","0","1","1","0","1","0","3"
"7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","0","0","0","0","0","0","2","0","0","0","0","0","2"
"10","0","0","0","0","0","1","1","0","0","0","0","0","2"
"13","0","0","0","0","1","0","0","0","0","0","0","0","1"
"14","0","0","0","0","0","0","0","0","0","0","1","0","1"
"17","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18","0","0","3","0","0","0","4","0","1","0","0","0","8"
"19","0","0","0","0","0","0","0","0","1","0","0","0","1"
"20","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23","0","0","1","0","0","0","0","0","0","0","0","0","1"
"24","0","0","1","0","0","0","2","0","1","0","0","0","4"
"25","0","0","1","0","0","0","0","0","0","0","1","0","2"
"26","0","0","0","0","0","0","2","0","0","0","1","0","3"
"28","0","0","0","0","0","0","0","0","1","0","0","0","1"
"30","0","0","0","0","0","0","0","0","0","0","0","0","0"
"32","0","0","0","0","0","1","0","0","0","0","0","0","1"
"33","0","0","0","0","0","0","0","0","0","0","0","0","0"
"34","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40","0","0","0","0","0","2","0","0","0","0","0","0","2"
"41","0","0","0","0","0","0","0","0","0","0","0","0","0"
"42","0","0","0","0","0","0","0","0","0","0","0","0","0"
"43","0","0","0","0","0","0","0","0","0","0","0","0","0"
"44","0","0","0","0","0","0","0","0","0","0","0","0","0"
"45","0","0","0","0","0","0","0","0","0","0","0","0","0"
"46","0","0","0","0","0","0","0","0","0","0","0","0","0"
"47","0","0","0","1","0","0","0","0","0","0","0","0","1"
"48","0","0","0","0","0","0","0","0","0","0","0","0","0"
"49","0","0","1","0","0","0","0","0","0","0","0","0","1"
"50","0","0","0","0","0","0","1","0","0","1","0","0","2"
"52","0","0","0","0","0","0","0","0","1","0","0","0","1"
"60","0","0","1","0","0","0","3","0","0","0","0","0","4"
"61","0","0","1","0","0","0","1","0","0","0","0","0","2"
"62","1","0","0","0","0","1","0","0","0","0","0","0","2"
"63","0","0","0","0","0","0","0","0","0","0","0","0","0"
"66","0","0","0","0","0","0","4","0","0","0","0","0","4"
"67","0","0","0","0","0","0","0","0","0","0","0","0","0"
"68","0","0","0","0","0","0","0","0","0","0","0","0","0"
"69","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70","0","0","0","0","0","0","1","0","0","0","0","0","1"
"71","0","0","0","0","0","0","7","0","0","0","0","0","7"
"72","0","0","0","0","0","0","0","0","1","0","0","0","1"
"73","0","1","0","0","0","0","0","0","1","0","0","0","2"
"75","0","0","0","0","0","1","0","0","0","0","0","1","2"
"76","0","0","0","0","0","0","0","0","0","0","0","0","0"
"77","0","0","0","0","0","0","0","0","0","0","0","0","0"
"78","0","0","0","0","0","0","0","0","0","0","0","0","0"
"79","0","0","0","0","0","0","1","0","2","0","1","1","5"
"81","0","0","0","0","0","0","0","0","0","0","0","0","0"
"83","0","0","0","0","0","0","2","0","2","0","0","0","4"
"84","0","0","0","0","0","0","1","0","1","0","0","0","2"
"88","0","0","0","0","0","0","0","0","0","0","0","0","0"
"90","0","0","0","0","0","0","1","0","0","0","0","0","1"
"94","0","0","0","0","0","0","1","0","0","0","0","0","1"
"100","0","0","1","0","0","0","0","0","0","0","0","0","1"
"101","0","0","0","0","0","0","0","0","0","0","0","0","0"
"102","0","0","0","0","0","0","1","0","0","0","0","0","1"
"103","0","0","1","0","0","0","0","0","0","0","0","0","1"
"104","0","0","0","0","0","0","1","0","0","0","0","0","1"
"105","0","0","0","0","0","0","0","0","0","0","0","0","0"
"106","0","0","0","0","0","0","0","0","0","0","0","0","0"
"107","0","0","0","0","0","0","1","0","0","0","0","0","1"
"108","0","0","0","0","0","0","1","0","0","0","0","0","1"
"109","0","0","0","0","0","0","0","0","0","0","0","0","0"
"110","0","0","1","0","0","0","0","0","1","0","0","0","2"
"111","0","0","0","0","0","0","0","0","0","0","0","0","0"
"112","0","0","0","0","0","0","0","0","0","0","0","0","0"
"113","0","0","0","0","0","0","0","0","0","0","0","0","0"
"114","0","0","1","0","0","0","1","0","1","0","0","0","3"
"115","0","0","1","0","0","0","0","0","1","0","0","0","2"
"120","0","0","1","0","0","0","0","0","0","0","0","0","1"
"121","0","0","0","0","0","0","0","0","0","0","0","0","0"
"122","0","0","0","0","0","0","0","0","0","0","0","0","0"
"123","0","0","0","0","0","0","2","0","0","0","0","0","2"
"Total","1","1","16","1","1","6","41","1","16","1","5","3","93"
