"Precinct","Anti-Arab","Anti-Asian","Anti-Black","Anti-Female homosexual (Lesbian)","Anti-Hispanic","Anti-Islamic (Muslim)","Anti-Jewish","Anti-Male homosexual (Gay)","Anti-Mormon","Anti-Other Christian","Anti-Other Ethnicity/National Origin","Anti-Other Religion","Anti-Transgender","Anti-White","Anti-Physical Disability","Total"
"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"6","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","3"
"7","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1"
"9","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","3"
"10","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","2"
"13","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","2"
"14","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","2"
"17","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","2"
"20","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1"
"22","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1"
"23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24","0","0","1","0","0","0","5","0","0","0","0","0","0","0","0","6"
"25","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"28","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"32","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","2"
"33","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","3"
"34","0","0","0","0","1","0","4","1","0","0","0","1","0","0","0","7"
"40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"41","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"44","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1"
"45","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1"
"46","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"47","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"48","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1"
"49","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"52","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1"
"61","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","2"
"62","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","2"
"63","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"66","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1"
"67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"68","0","0","2","0","0","1","1","0","0","0","0","0","0","0","0","4"
"69","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"71","0","0","0","0","0","0","1","0","0","0","2","0","0","1","0","4"
"72","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"73","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"76","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"77","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"78","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1"
"79","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","2"
"81","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","2"
