"Precinct","Anti-Asian","Anti-Black","Anti-Catholic","Anti-Female Homosexual (Lesbian)","Anti-Hispanic","Anti-Islamic (Muslim)","Anti-Jewish","Anti-Male Homosexual (Gay)","Anti-Other Ethnicity/National Origin","Anti-Transgender","Anti-White","Total"
,,,,,,,,,,,,
"1","0","0","0","0","0","0","0","0","1","0","0","1"
"5","0","1","0","0","0","0","0","0","0","0","0","1"
"6","0","0","0","0","1","0","0","0","0","0","0","1"
"7","0","1","0","0","0","0","1","0","0","0","0","2"
"9","0","0","0","0","0","0","2","0","0","0","0","2"
"10","0","1","0","0","0","0","2","0","0","0","0","3"
"13","0","1","0","0","0","0","2","0","0","0","0","3"
"14","0","0","0","0","0","0","2","1","0","0","0","3"
"17","0","0","0","0","0","0","1","0","0","0","0","1"
"18","0","1","0","0","0","1","0","0","0","0","0","2"
"19","0","1","0","0","0","0","3","0","0","0","0","4"
"20","0","1","0","0","0","0","6","0","0","0","1","8"
"22","0","0","0","0","0","0","1","0","0","0","0","1"
"23","1","1","0","0","0","0","0","0","0","0","0","2"
"24","0","0","0","0","0","0","5","0","0","0","0","5"
"25","0","0","0","0","0","1","1","0","0","0","0","2"
"26","0","0","0","0","0","0","3","0","0","0","0","3"
"28","0","0","0","0","0","0","0","0","0","0","0","0"
"30","0","0","0","0","0","0","0","1","1","0","0","2"
"32","0","0","0","0","0","0","1","0","0","0","0","1"
"33","0","0","0","0","1","0","2","0","0","0","0","3"
"34","0","0","0","0","0","0","1","0","0","0","0","1"
"40","0","0","0","0","0","0","0","0","0","0","1","1"
"41","0","0","0","0","0","0","0","0","0","0","0","0"
"42","0","0","0","0","0","0","0","0","0","0","0","0"
"43","0","0","0","0","0","0","0","0","0","0","0","0"
"44","0","0","0","0","0","0","0","0","1","0","0","1"
"45","0","0","0","0","0","0","1","0","0","0","0","1"
"46","0","0","0","0","0","0","0","0","0","0","1","1"
"47","0","0","0","0","0","0","0","0","0","0","0","0"
"48","0","1","0","0","0","0","0","0","0","0","0","1"
"49","0","0","0","0","0","0","0","0","0","0","0","0"
"50","0","0","0","0","0","0","1","0","0","0","0","1"
"52","0","0","0","0","1","0","1","0","0","0","0","2"
"60","0","0","0","0","0","0","5","0","0","0","0","5"
"61","0","2","0","0","0","0","1","1","0","0","0","4"
"62","0","0","0","0","0","0","1","0","0","0","0","1"
"63","0","0","0","0","0","0","0","0","0","0","0","0"
"66","0","0","0","0","0","0","7","0","0","0","0","7"
"67","0","0","0","0","0","0","0","0","0","0","0","0"
"68","0","0","0","0","0","0","0","0","0","0","0","0"
"69","0","0","0","0","0","0","0","0","0","0","0","0"
"70","0","1","0","0","0","0","2","0","0","0","0","3"
"71","0","0","0","0","0","0","3","0","0","0","0","3"
"72","0","0","0","0","0","0","1","0","0","0","0","1"
"73","0","0","0","0","0","0","0","1","0","0","0","1"
"75","0","0","0","0","0","0","0","0","0","0","0","0"
"76","0","0","0","0","0","0","0","0","0","0","0","0"
"77","0","0","0","0","0","0","1","0","0","0","0","1"
"78","0","0","0","0","0","0","0","0","0","0","0","0"
"79","0","0","0","0","0","0","2","0","0","0","0","2"
"81","0","0","0","0","0","0","0","1","0","0","0","1"
"83","0","0","0","0","0","0","1","0","0","0","0","1"
"84","0","1","0","0","0","0","4","0","0","0","0","5"
"88","0","0","0","0","0","0","1","0","0","0","0","1"
"90","0","0","1","0","0","0","6","0","0","0","0","7"
"94","0","1","0","0","0","0","3","0","0","0","0","4"
"100","0","1","0","0","1","0","1","0","0","0","0","3"
"101","0","0","0","0","0","0","0","0","0","0","0","0"
"102","0","0","0","0","0","0","0","0","0","0","0","0"
"103","0","0","0","0","0","0","0","0","0","0","0","0"
"104","0","0","0","0","0","0","1","0","0","0","0","1"
"105","0","0","0","0","0","0","0","0","0","1","0","1"
"106","0","0","0","0","0","1","0","0","0","0","0","1"
"107","0","0","0","0","0","0","0","0","0","0","0","0"
"108","1","0","0","0","0","0","1","0","0","0","0","2"
"109","0","0","2","0","0","0","0","0","0","0","0","2"
"110","0","0","0","0","0","0","0","0","0","0","0","0"
"111","0","0","0","0","0","0","0","0","0","0","0","0"
"112","0","0","0","1","0","0","1","0","0","0","0","2"
"113","0","0","0","0","0","0","0","0","0","0","0","0"
"114","0","0","0","0","0","0","1","0","0","0","0","1"
"115","0","0","0","0","0","0","0","0","0","0","0","0"
"120","0","0","0","0","0","0","1","0","0","0","1","2"
"121","0","0","0","0","0","0","0","0","0","0","0","0"
"122","0","0","0","0","0","0","0","0","0","0","0","0"
"123","0","0","0","0","0","0","0","0","0","0","0","0"
"Total","2","15","3","1","4","3","80","5","3","1","4","121"
