"Precinct","Anti-Arab","Anti-Asian","Anti-Black","Anti-Buddhist","Anti-Catholic","Anti-Hispanic","Anti-Islamic (Muslim)","Anti-Jewish","Anti-LGBT (mixed group)","Anti-Male Homosexual (Gay)","Anti-Other Ethnicity/National Origin","Anti-Transgender","Anti-White","Total"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"1","0","0","0","0","0","0","0","5","0","0","1","0","0","6"
"5","0","0","0","0","0","1","1","0","0","1","0","0","0","3"
"6","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
"7","0","0","0","0","0","0","0","2","0","0","0","0","0","2"
"9","0","0","0","0","0","0","0","1","0","1","0","0","0","2"
"10","0","0","0","0","0","0","0","2","0","0","0","0","0","2"
"13","0","0","0","0","0","0","0","2","0","1","0","0","0","3"
"14","1","0","1","0","0","0","0","1","0","0","0","0","0","3"
"17","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18","0","0","2","0","0","0","0","1","0","1","0","0","1","5"
"19","0","0","2","0","0","0","0","6","0","0","0","0","0","8"
"20","0","0","0","0","0","0","0","3","0","0","0","0","0","3"
"22","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"25","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"26","0","0","0","0","0","0","0","0","0","0","1","0","0","1"
"28","0","0","0","0","0","0","0","1","0","1","0","0","2","4"
"30","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"32","0","0","0","0","0","0","0","0","0","1","0","0","0","1"
"33","0","0","0","0","0","0","0","2","0","0","0","0","0","2"
"34","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"41","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"42","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"43","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"44","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"45","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
"46","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"47","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"48","0","0","0","0","0","0","0","0","0","0","0","0","4","4"
"49","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"52","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60","0","0","0","0","0","0","0","4","0","0","0","0","0","4"
"61","0","3","0","0","0","0","0","1","0","0","0","0","0","4"
"62","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"63","0","0","1","0","0","0","0","0","0","0","0","0","0","1"
"66","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"67","0","0","0","0","0","1","0","0","0","0","0","0","0","1"
"68","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"69","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70","0","0","0","0","0","0","1","1","0","0","0","0","1","3"
"71","0","0","0","0","1","0","0","4","0","0","0","0","0","5"
"72","0","0","1","0","0","0","0","1","0","0","0","0","0","2"
"73","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"75","0","0","1","0","0","0","0","0","0","0","0","0","0","1"
"76","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"77","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
"78","0","0","0","0","1","0","0","1","0","0","0","0","0","2"
"79","0","0","0","0","0","0","0","2","0","1","0","0","0","3"
"81","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"83","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
"84","0","0","0","0","0","0","0","1","1","0","0","1","0","3"
"88","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
"90","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
"94","0","0","0","0","0","0","0","8","0","0","0","0","0","8"
"100","0","0","0","0","0","0","0","0","0","0","1","0","0","1"
"101","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
"102","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
"103","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"104","0","0","0","0","0","0","0","2","0","0","0","0","0","2"
"105","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"106","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"107","0","0","0","0","0","0","0","3","0","0","0","0","0","3"
"108","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
"109","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"110","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"111","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"112","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
"113","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"114","0","0","0","0","0","0","1","2","0","0","0","0","0","3"
"115","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"120","0","0","0","0","0","1","0","0","0","0","1","0","0","2"
"121","0","0","1","0","0","0","0","0","0","0","0","0","0","1"
"122","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"123","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Total","1","3","9","1","2","3","3","66","1","7","4","1","11","112"
