"Precinct","Anti-Arab","Anti-Black","Anti-Catholic","Anti-Female homosexual (Lesbian)","Anti-Hispanic","Anti-Islamic (Muslim)","Anti-Jewish","Anti-LGBT (mixed group)","Anti-Male homosexual (Gay)","Anti-multi-racial groups","Anti-Other Ethnicity/national origin","Anti-physical disability","Anti-Transgender","Anti-White","Anti-Jehovah's Witness","Grand Total"
"1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"5","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","2"
"6","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","4"
"7","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","2"
"9","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","2"
"10","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"13","0","0","0","0","0","0","2","0","2","0","0","0","0","2","0","6"
"14","0","0","0","0","0","0","0","2","0","0","0","0","0","2","0","4"
"17","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
"18","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","2"
"19","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1"
"20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","2"
"26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"28","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"32","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1"
"33","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1"
"34","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"40","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"41","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"46","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"47","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1"
"48","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1"
"49","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","2"
"50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"52","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","2"
"61","0","1","0","0","0","0","3","0","0","0","0","0","0","0","0","4"
"62","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"63","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"66","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","3"
"67","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1"
"68","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"69","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"71","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","2"
"72","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","2"
"73","0","0","0","0","0","0","2","0","0","0","1","0","0","0","0","3"
"75","0","2","0","0","0","0","1","0","1","0","0","0","0","0","0","4"
"76","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","2"
"77","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","3"
"78","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1"
"79","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","2"
"81","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1"
"83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"84","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","3"
"88","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","2"
"90","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","3"
"94","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1"
"101","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"102","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"104","0","1","0","0","1","0","3","1","0","0","0","0","0","0","0","6"
"105","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1"
"106","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"107","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"108","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","3"
"109","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1"
"110","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1"
"111","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"112","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","3"
"113","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"114","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"115","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","2"
"120","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"121","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"122","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1"
"123","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Grand Total","1","8","2","1","2","2","42","3","13","1","3","1","4","11","1","95"
