"Precinct","Anti-Black","Anti-Catholic","Anti-Female Homosexual (Lesbian)","Anti-Hispanic","Anti-Islamic (Muslim)","Anti-Jewish","Anti-LGBT (mixed group)","Anti-Male Homosexual (Gay)","Anti-Other Ethnicity/National Origin","Anti-Other Religion","Anti-Transgender","Anti-White","Total"
"1","0","0","0","0","0","2","0","0","0","0","0","0","2"
"5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","0","0","0","0","0","2","0","0","0","0","0","0","2"
"9","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","1","0","0","0","0","2","0","0","0","0","0","0","3"
"13","0","0","0","0","0","1","0","2","0","0","0","0","3"
"14","0","0","0","0","0","1","0","1","0","0","0","0","2"
"17","0","0","0","0","0","2","0","0","0","0","0","0","2"
"18","0","0","0","0","0","0","0","1","0","0","0","0","1"
"19","1","0","0","0","0","1","0","0","0","0","0","0","2"
"20","0","0","0","0","0","1","0","0","0","0","0","0","1"
"22","0","0","0","0","0","1","0","0","0","0","0","0","1"
"23","0","0","0","0","0","0","0","1","0","0","0","0","1"
"24","0","0","0","0","0","3","0","0","0","0","0","0","3"
"25","0","0","0","0","0","1","0","0","0","0","0","1","2"
"26","0","0","0","0","0","0","0","0","0","0","0","0","0"
"28","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30","0","0","0","0","0","0","0","0","0","0","0","0","0"
"32","0","0","0","0","0","0","0","0","0","0","0","1","1"
"33","0","0","1","0","0","0","0","0","0","0","0","0","1"
"34","0","0","0","0","0","2","0","0","0","0","0","1","3"
"40","0","0","0","0","0","0","0","0","0","0","0","0","0"
"41","0","0","0","0","0","3","0","0","0","0","0","0","3"
"42","0","0","0","0","0","0","0","0","0","0","0","0","0"
"43","0","0","0","0","1","0","0","0","0","0","0","0","1"
"44","0","0","0","0","0","0","0","0","0","0","1","0","1"
"45","1","0","0","1","0","0","0","0","0","0","0","0","2"
"46","1","0","0","0","0","0","0","1","0","0","0","0","2"
"47","0","0","0","0","0","0","0","0","0","0","0","0","0"
"48","0","0","0","0","0","5","0","0","0","0","0","0","5"
"49","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50","0","0","0","0","0","0","0","0","0","0","0","0","0"
"52","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60","0","0","0","0","0","1","0","0","0","0","0","0","1"
"61","0","0","0","0","0","3","0","1","0","0","0","0","4"
"62","0","0","0","0","0","0","0","0","0","0","0","0","0"
"63","0","0","0","0","1","1","0","0","0","0","0","0","2"
"66","0","0","0","0","0","10","0","0","0","0","0","0","10"
"67","0","0","0","0","0","0","0","1","0","0","0","0","1"
"68","0","0","0","0","0","1","0","0","0","0","0","0","1"
"69","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70","0","0","0","0","0","0","0","0","0","0","0","0","0"
"71","0","0","0","0","0","8","0","0","0","1","0","1","10"
"72","0","0","0","0","0","0","0","0","0","0","0","0","0"
"73","0","0","0","0","0","1","0","0","0","0","0","0","1"
"75","0","0","0","0","0","1","0","1","0","0","0","0","2"
"76","0","0","0","0","0","0","0","1","0","0","0","0","1"
"77","0","0","0","0","0","3","0","0","0","0","0","0","3"
"78","0","0","0","0","0","1","1","0","0","0","0","0","2"
"79","0","0","0","1","0","4","0","0","0","0","0","0","5"
"81","0","0","0","0","0","0","0","0","0","0","0","0","0"
"83","0","0","0","0","0","0","0","0","0","0","0","0","0"
"84","1","0","0","0","0","0","0","0","0","0","0","0","1"
"88","0","0","0","1","0","1","0","0","0","0","0","0","2"
"90","0","0","0","0","0","3","0","0","0","0","0","0","3"
"94","0","1","0","0","0","2","0","1","0","0","0","0","4"
"100","0","1","0","0","0","0","0","0","0","0","0","0","1"
"101","0","0","0","0","0","1","0","0","0","0","1","0","2"
"102","0","0","0","0","0","0","0","0","0","0","0","0","0"
"103","0","0","0","0","0","1","0","0","0","0","0","0","1"
"104","1","0","0","0","0","0","0","0","0","0","0","0","1"
"105","0","0","0","0","0","0","0","0","0","0","0","0","0"
"106","0","0","0","0","0","0","0","0","0","0","0","1","1"
"107","0","0","0","0","0","1","0","0","0","0","0","0","1"
"108","0","0","0","0","0","1","0","0","0","0","0","0","1"
"109","0","0","0","0","0","0","0","0","0","0","0","0","0"
"110","0","0","0","0","0","0","0","0","0","0","0","0","0"
"111","0","0","0","0","0","0","0","0","0","0","0","0","0"
"112","0","0","0","0","0","1","0","0","0","0","0","0","1"
"113","0","0","0","0","0","0","0","0","0","0","0","0","0"
"114","0","0","0","0","0","1","0","0","1","0","0","0","2"
"115","0","0","0","0","0","3","0","1","1","1","0","0","6"
"120","0","0","0","0","0","0","0","0","0","0","0","0","0"
"121","0","0","0","0","0","1","0","0","0","0","0","0","1"
"122","1","0","0","0","0","0","0","0","0","0","0","0","1"
"123","1","0","0","0","0","0","0","0","0","0","0","0","1"
"Grand Total","8","2","1","3","2","77","1","12","2","2","2","5","117"
