"Precinct","Anti-Asian","Anti-Black","Anti-Catholic","Anti-Female Homosexual (Lesbian)","Anti-Hindu","Anti-Islamic (Muslim)","Anti-Jewish","Anti-Male Homosexual (Gay)","Anti-Other Ethnicity/National Origin","Anti-Transgender","Anti-White","Total"
,,,,,,,,,,,,
"1","0","1","0","0","0","0","1","0","0","0","1","3"
"5","0","0","0","0","0","0","2","0","0","0","0","2"
"6","0","0","0","0","0","0","0","0","0","0","0","0"
"7","0","0","0","0","0","0","2","0","0","0","0","2"
"9","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0","0","0","0","0","0","0","0","0","0","0","0"
"13","1","0","0","0","0","0","1","0","0","0","0","2"
"14","2","0","0","0","0","0","0","0","0","0","0","2"
"17","0","0","0","0","0","0","0","0","0","0","0","0"
"18","0","0","0","0","0","0","2","0","1","0","0","3"
"19","0","0","0","0","0","0","1","0","0","0","0","1"
"20","0","0","0","0","0","0","1","0","0","0","0","1"
"22","0","0","0","0","0","0","0","0","0","0","0","0"
"23","2","1","0","0","0","0","0","0","0","0","0","3"
"24","0","0","0","0","0","0","0","0","0","0","0","0"
"25","0","1","0","0","0","0","0","0","0","0","0","1"
"26","0","1","0","0","0","0","0","0","0","0","0","1"
"28","0","0","0","0","0","0","0","1","0","0","0","1"
"30","0","0","0","0","0","0","0","0","0","1","0","1"
"32","0","0","0","0","0","0","1","0","0","0","0","1"
"33","0","0","0","0","0","0","0","0","0","0","0","0"
"34","0","0","1","0","0","0","1","0","0","0","0","2"
"40","0","2","0","1","0","0","0","0","0","0","0","3"
"41","0","0","0","0","0","0","0","0","0","0","0","0"
"42","0","0","0","0","0","0","0","0","0","0","0","0"
"43","0","0","0","0","0","0","0","0","0","0","0","0"
"44","1","0","0","0","0","0","0","2","0","0","0","3"
"45","0","0","0","0","0","0","0","0","0","0","0","0"
"46","0","0","0","0","0","0","0","0","0","0","0","0"
"47","0","0","0","0","0","0","0","0","0","0","0","0"
"48","0","0","0","0","0","0","0","0","0","0","0","0"
"49","0","0","0","0","0","0","0","0","0","0","0","0"
"50","0","0","0","0","0","0","1","0","0","0","0","1"
"52","0","0","0","0","0","0","0","0","0","0","0","0"
"60","0","0","0","0","0","0","4","0","0","0","0","4"
"61","0","0","0","0","0","0","0","0","0","0","0","0"
"62","0","0","0","0","0","0","0","0","0","0","0","0"
"63","0","0","0","0","0","0","1","0","0","0","0","1"
"66","1","0","0","0","0","0","1","0","0","0","0","2"
"67","0","0","0","0","0","0","0","0","0","0","0","0"
"68","0","0","0","0","0","0","0","0","0","0","0","0"
"69","0","0","0","0","0","0","0","0","0","0","0","0"
"70","0","0","0","0","0","0","3","0","0","0","0","3"
"71","0","0","0","0","0","0","1","1","0","0","0","2"
"72","0","0","0","0","0","0","3","0","0","0","0","3"
"73","0","0","0","0","0","0","2","0","0","0","0","2"
"75","0","0","0","0","0","1","0","0","0","0","0","1"
"76","0","0","0","0","0","0","0","0","0","0","0","0"
"77","0","0","0","0","0","0","0","0","0","0","0","0"
"78","1","0","0","0","0","0","1","0","0","0","0","2"
"79","0","0","0","0","0","0","1","0","0","0","0","1"
"81","0","0","0","0","0","0","0","0","0","0","0","0"
"83","0","0","0","0","0","0","1","0","0","0","0","1"
"84","2","0","0","0","0","0","0","0","1","0","0","3"
"88","0","2","0","0","0","0","2","0","0","0","1","5"
"90","0","0","0","0","0","0","2","0","0","0","0","2"
"94","0","0","0","0","0","0","1","0","0","0","0","1"
"100","0","0","0","0","0","0","0","0","1","0","0","1"
"101","0","0","0","0","0","0","1","0","0","0","0","1"
"102","0","0","0","0","0","0","0","0","0","0","0","0"
"103","0","0","0","0","0","0","0","0","0","0","0","0"
"104","0","0","0","0","0","0","0","0","0","0","0","0"
"105","0","0","0","0","0","0","0","0","0","0","0","0"
"106","0","0","0","0","1","0","0","0","0","0","0","1"
"107","0","0","0","0","0","0","5","0","0","0","0","5"
"108","0","0","0","0","0","0","0","0","0","0","0","0"
"109","0","0","0","0","0","0","0","0","0","0","0","0"
"110","0","1","0","0","0","0","0","0","0","0","0","1"
"111","0","0","0","0","0","0","2","0","0","1","0","3"
"112","1","0","0","0","0","0","0","0","0","0","0","1"
"113","0","1","0","0","0","0","0","0","0","0","0","1"
"114","0","0","0","0","0","0","0","0","0","0","0","0"
"115","0","0","0","0","0","0","0","1","0","0","0","1"
"120","0","2","0","0","0","0","1","0","0","0","0","3"
"121","0","0","0","0","0","0","0","0","0","0","0","0"
"122","0","0","0","0","0","0","0","0","0","0","0","0"
"123","0","0","0","0","0","0","0","0","0","0","0","0"
"Total","11","12","1","1","1","1","45","5","3","2","2","84"
